material,type,index,name,attribution_mpnn,attribution,sign,smiles,predicted_score,task
4PACZ,atom,12,atom_12,-0.1260542720556259,-0.1260542720556259,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,13,atom_13,-0.2021809220314026,-0.2021809220314026,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,14,atom_14,0.2192772626876831,0.2192772626876831,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,15,atom_15,0.2192772626876831,0.2192772626876831,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,16,atom_16,-0.2021809220314026,-0.2021809220314026,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,17,atom_17,-0.1260542720556259,-0.1260542720556259,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,18,atom_18,-0.1240923702716827,-0.1240923702716827,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,19,atom_19,-0.1597327888011932,-0.1597327888011932,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,atom,20,atom_20,0.0938465595245361,0.0938465595245361,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,0,Alkyl,,-1.1098464727401731,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,1,TailSym,,-0.05526889488101,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,2,TailPlanarity,,-0.4983828961849212,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,3,NumHAcceptors,,-0.7488692402839661,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,4,NumHDonors,,0.1807407736778259,positive,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,5,TPSA,,-0.0675778687000274,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
4PACZ,extra_feature,6,MolLogP,,-0.5989342331886292,negative,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,-0.3161268830299377,PCE
